Points_0,Points_1,Points_2,U_0,U_1,U_2,VectorGradient_0,VectorGradient_1,VectorGradient_2,VectorGradient_3,VectorGradient_4,VectorGradient_5,VectorGradient_6,VectorGradient_7,VectorGradient_8
-3.94798,0,1.49027,0.256149,0,0.2856,-0.23786,0,0.504303,0,0,0,-0.0198485,0,0.233589
-3.48316,0,1.49027,0.14924,0,0.268784,-0.223825,0,0.48433,0,0,0,-0.0567177,0,0.219424
-3.05118,0,1.49027,0.0575221,0,0.234546,-0.203512,0,0.463427,0,0,0,-0.102592,0,0.199668
-2.64973,0,1.49027,-0.0185173,0,0.18268,-0.178179,0,0.439472,0,0,0,-0.152815,0,0.175292
-2.27664,0,1.49027,-0.0791846,0,0.115318,-0.149117,0,0.411586,0,0,0,-0.202493,0,0.147098
-1.92992,0,1.49027,-0.125185,0,0.0359459,-0.116973,0,0.380042,0,0,0,-0.248261,0,0.115353
-1.6077,0,1.49027,-0.157255,0,-0.0517277,-0.0815134,0,0.345695,0,0,0,-0.288784,0,0.0797357
-1.30824,0,1.49027,-0.175889,0,-0.144535,-0.041567,0,0.309345,0,0,0,-0.324778,0,0.0393231
-1.02994,0,1.49027,-0.181138,0,-0.240477,0.00526037,0,0.271014,0,0,0,-0.359678,0,-0.00735011
-0.771312,0,1.49027,-0.172507,0,-0.339416,0.0602342,0,0.229443,0,0,0,-0.401816,0,-0.0623854
-0.530955,0,1.49027,-0.150311,0,-0.444496,0.116861,0,0.181714,0,0,0,-0.467214,0,-0.13112
-0.307583,0,1.49027,-0.118269,0,-0.564017,0.206792,0,0.126183,0,0,0,-0.436981,0,-0.239373
-0.0999933,0,1.49027,-0.0615756,0,-0.641433,0.442635,0,0.0482721,0,0,0,2.91979,0,-0.154406
-96.3741,0,1.96282,6.57554,0,0.0579925,0.0038047,0,1.08002,0,0,0,0.00614986,0,-0.000116014
-89.3784,0,1.96282,6.60481,0,0.0317392,-0.00341029,0,1.11662,0,0,0,-0.00289433,0,0.00389711
-82.877,0,1.96282,6.53609,0,0.0190723,-0.0116753,0,1.15603,0,0,0,-0.000954149,0,0.0098713
-76.8351,0,1.96282,6.45977,0,0.0195183,-0.0127713,0,1.18187,0,0,0,0.000228369,0,0.0126563
-71.22,0,1.96282,6.38538,0,0.0214436,-0.0140638,0,1.19167,0,0,0,0.000448238,0,0.0145388
-66.0017,0,1.96282,6.30512,0,0.0241765,-0.0163852,0,1.19353,0,0,0,0.000672744,0,0.0167099
-61.1522,0,1.96282,6.21849,0,0.0280985,-0.0191178,0,1.19225,0,0,0,0.000954262,0,0.0194574
-56.6453,0,1.96282,6.12456,0,0.033015,-0.0224016,0,1.18941,0,0,0,0.00124861,0,0.0227924
-52.4568,0,1.96282,6.02209,0,0.038868,-0.0263173,0,1.1856,0,0,0,0.00158531,0,0.0267439
-48.5644,0,1.96282,5.91028,0,0.0457327,-0.030884,0,1.18112,0,0,0,0.00198781,0,0.0313583
-44.9469,0,1.96282,5.7885,0,0.053694,-0.0361541,0,1.17611,0,0,0,0.00246644,0,0.0366875
-41.5851,0,1.96282,5.65623,0,0.0628325,-0.042189,0,1.17064,0,0,0,0.00303066,0,0.0427885
-38.4609,0,1.96282,5.51305,0,0.0732226,-0.0490462,0,1.16475,0,0,0,0.00368871,0,0.0497176
-35.5573,0,1.96282,5.35868,0,0.0849214,-0.0567734,0,1.15839,0,0,0,0.00444493,0,0.0575237
-32.859,0,1.96282,5.19299,0,0.0979566,-0.0654091,0,1.15152,0,0,0,0.00529841,0,0.0662432
-30.3513,0,1.96282,5.01601,0,0.112315,-0.0749734,0,1.14401,0,0,0,0.00624106,0,0.0758945
-28.0208,0,1.96282,4.82797,0,0.127933,-0.0854586,0,1.1357,0,0,0,0.00725518,0,0.0864717
-25.855,0,1.96282,4.62934,0,0.144684,-0.0968323,0,1.12635,0,0,0,0.00831176,0,0.0979374
-23.8422,0,1.96282,4.42079,0,0.162372,-0.109025,0,1.11569,0,0,0,0.00936963,0,0.110219
-21.9717,0,1.96282,4.20327,0,0.18073,-0.121923,0,1.10338,0,0,0,0.0103756,0,0.123205
-20.2333,0,1.96282,3.97797,0,0.199423,-0.135375,0,1.08903,0,0,0,0.011266,0,0.136742
-18.6177,0,1.96282,3.74632,0,0.21806,-0.149192,0,1.07225,0,0,0,0.0119719,0,0.150633
-17.1164,0,1.96282,3.50996,0,0.236216,-0.163143,0,1.05263,0,0,0,0.0124247,0,0.164647
-15.7211,0,1.96282,3.27072,0,0.253457,-0.176973,0,1.02981,0,0,0,0.0125646,0,0.17853
-14.4243,0,1.96282,3.03053,0,0.269375,-0.190423,0,1.00351,0,0,0,0.0123551,0,0.192019
-13.2193,0,1.96282,2.79137,0,0.283633,-0.203241,0,0.97355,0,0,0,0.0118017,0,0.204865
